date_id,full_date,year,quarter,month,month_name,week,day_of_week,day_name,is_weekend
163,2023-06-12,2023,2,6,June,24,0,Monday,0
164,2023-06-13,2023,2,6,June,24,1,Tuesday,0
165,2023-06-14,2023,2,6,June,24,2,Wednesday,0
166,2023-06-15,2023,2,6,June,24,3,Thursday,0
167,2023-06-16,2023,2,6,June,24,4,Friday,0
168,2023-06-17,2023,2,6,June,24,5,Saturday,1
169,2023-06-18,2023,2,6,June,24,6,Sunday,1
170,2023-06-19,2023,2,6,June,25,0,Monday,0
171,2023-06-20,2023,2,6,June,25,1,Tuesday,0
172,2023-06-21,2023,2,6,June,25,2,Wednesday,0
173,2023-06-22,2023,2,6,June,25,3,Thursday,0
174,2023-06-23,2023,2,6,June,25,4,Friday,0
175,2023-06-24,2023,2,6,June,25,5,Saturday,1
176,2023-06-25,2023,2,6,June,25,6,Sunday,1
177,2023-06-26,2023,2,6,June,26,0,Monday,0
178,2023-06-27,2023,2,6,June,26,1,Tuesday,0
179,2023-06-28,2023,2,6,June,26,2,Wednesday,0
180,2023-06-29,2023,2,6,June,26,3,Thursday,0
181,2023-06-30,2023,2,6,June,26,4,Friday,0
182,2023-07-01,2023,3,7,July,26,5,Saturday,1
183,2023-07-02,2023,3,7,July,26,6,Sunday,1
184,2023-07-03,2023,3,7,July,27,0,Monday,0
185,2023-07-04,2023,3,7,July,27,1,Tuesday,0
186,2023-07-05,2023,3,7,July,27,2,Wednesday,0
187,2023-07-06,2023,3,7,July,27,3,Thursday,0
188,2023-07-07,2023,3,7,July,27,4,Friday,0
189,2023-07-08,2023,3,7,July,27,5,Saturday,1
190,2023-07-09,2023,3,7,July,27,6,Sunday,1
191,2023-07-10,2023,3,7,July,28,0,Monday,0
192,2023-07-11,2023,3,7,July,28,1,Tuesday,0
193,2023-07-12,2023,3,7,July,28,2,Wednesday,0
194,2023-07-13,2023,3,7,July,28,3,Thursday,0
195,2023-07-14,2023,3,7,July,28,4,Friday,0
196,2023-07-15,2023,3,7,July,28,5,Saturday,1
197,2023-07-16,2023,3,7,July,28,6,Sunday,1
198,2023-07-17,2023,3,7,July,29,0,Monday,0
199,2023-07-18,2023,3,7,July,29,1,Tuesday,0
200,2023-07-19,2023,3,7,July,29,2,Wednesday,0
201,2023-07-20,2023,3,7,July,29,3,Thursday,0
202,2023-07-21,2023,3,7,July,29,4,Friday,0
203,2023-07-22,2023,3,7,July,29,5,Saturday,1
204,2023-07-23,2023,3,7,July,29,6,Sunday,1
205,2023-07-24,2023,3,7,July,30,0,Monday,0
206,2023-07-25,2023,3,7,July,30,1,Tuesday,0
207,2023-07-26,2023,3,7,July,30,2,Wednesday,0
208,2023-07-27,2023,3,7,July,30,3,Thursday,0
209,2023-07-28,2023,3,7,July,30,4,Friday,0
210,2023-07-29,2023,3,7,July,30,5,Saturday,1
211,2023-07-30,2023,3,7,July,30,6,Sunday,1
212,2023-07-31,2023,3,7,July,31,0,Monday,0
213,2023-08-01,2023,3,8,August,31,1,Tuesday,0
214,2023-08-02,2023,3,8,August,31,2,Wednesday,0
215,2023-08-03,2023,3,8,August,31,3,Thursday,0
216,2023-08-04,2023,3,8,August,31,4,Friday,0
217,2023-08-05,2023,3,8,August,31,5,Saturday,1
218,2023-08-06,2023,3,8,August,31,6,Sunday,1
219,2023-08-07,2023,3,8,August,32,0,Monday,0
220,2023-08-08,2023,3,8,August,32,1,Tuesday,0
221,2023-08-09,2023,3,8,August,32,2,Wednesday,0
222,2023-08-10,2023,3,8,August,32,3,Thursday,0
223,2023-08-11,2023,3,8,August,32,4,Friday,0
224,2023-08-12,2023,3,8,August,32,5,Saturday,1
225,2023-08-13,2023,3,8,August,32,6,Sunday,1
226,2023-08-14,2023,3,8,August,33,0,Monday,0
227,2023-08-15,2023,3,8,August,33,1,Tuesday,0
228,2023-08-16,2023,3,8,August,33,2,Wednesday,0
229,2023-08-17,2023,3,8,August,33,3,Thursday,0
230,2023-08-18,2023,3,8,August,33,4,Friday,0
231,2023-08-19,2023,3,8,August,33,5,Saturday,1
232,2023-08-20,2023,3,8,August,33,6,Sunday,1
233,2023-08-21,2023,3,8,August,34,0,Monday,0
234,2023-08-22,2023,3,8,August,34,1,Tuesday,0
235,2023-08-23,2023,3,8,August,34,2,Wednesday,0
236,2023-08-24,2023,3,8,August,34,3,Thursday,0
237,2023-08-25,2023,3,8,August,34,4,Friday,0
238,2023-08-26,2023,3,8,August,34,5,Saturday,1
239,2023-08-27,2023,3,8,August,34,6,Sunday,1
240,2023-08-28,2023,3,8,August,35,0,Monday,0
241,2023-08-29,2023,3,8,August,35,1,Tuesday,0
242,2023-08-30,2023,3,8,August,35,2,Wednesday,0
243,2023-08-31,2023,3,8,August,35,3,Thursday,0
244,2023-09-01,2023,3,9,September,35,4,Friday,0
245,2023-09-02,2023,3,9,September,35,5,Saturday,1
246,2023-09-03,2023,3,9,September,35,6,Sunday,1
247,2023-09-04,2023,3,9,September,36,0,Monday,0
248,2023-09-05,2023,3,9,September,36,1,Tuesday,0
249,2023-09-06,2023,3,9,September,36,2,Wednesday,0
250,2023-09-07,2023,3,9,September,36,3,Thursday,0
251,2023-09-08,2023,3,9,September,36,4,Friday,0
252,2023-09-09,2023,3,9,September,36,5,Saturday,1
253,2023-09-10,2023,3,9,September,36,6,Sunday,1
254,2023-09-11,2023,3,9,September,37,0,Monday,0
255,2023-09-12,2023,3,9,September,37,1,Tuesday,0
256,2023-09-13,2023,3,9,September,37,2,Wednesday,0
257,2023-09-14,2023,3,9,September,37,3,Thursday,0
258,2023-09-15,2023,3,9,September,37,4,Friday,0
